feature,importance,fold,seed
Season,0.0,2.0,42.0
T1Ast_max_ALL,0.4,2.0,42.0
T1Ast_max_vsT2_ALL,0.0,2.0,42.0
T1Ast_mean_ALL,0.8,2.0,42.0
T1Ast_mean_vsT2_ALL,0.0,2.0,42.0
T1Ast_median_ALL,0.2,2.0,42.0
T1Ast_median_vsT2_ALL,0.0,2.0,42.0
T1Ast_min_ALL,0.4,2.0,42.0
T1Ast_min_vsT2_ALL,0.2,2.0,42.0
T1Astrate_max_ALL,0.0,2.0,42.0
T1Astrate_max_vsT2_ALL,0.0,2.0,42.0
T1Astrate_mean_ALL,0.0,2.0,42.0
T1Astrate_mean_vsT2_ALL,0.0,2.0,42.0
T1Astrate_median_ALL,0.0,2.0,42.0
T1Astrate_median_vsT2_ALL,0.0,2.0,42.0
T1Astrate_min_ALL,0.0,2.0,42.0
T1Astrate_min_vsT2_ALL,0.0,2.0,42.0
T1Blk_max_ALL,0.6,2.0,42.0
T1Blk_max_vsT2_ALL,0.0,2.0,42.0
T1Blk_mean_ALL,0.2,2.0,42.0
T1Blk_mean_vsT2_ALL,0.0,2.0,42.0
T1Blk_median_ALL,0.4,2.0,42.0
T1Blk_median_vsT2_ALL,0.0,2.0,42.0
T1Blk_min_ALL,0.2,2.0,42.0
T1Blk_min_vsT2_ALL,0.0,2.0,42.0
T1DR_max_ALL,0.0,2.0,42.0
T1DR_max_vsT2_ALL,0.6,2.0,42.0
T1DR_mean_ALL,0.8,2.0,42.0
T1DR_mean_vsT2_ALL,0.2,2.0,42.0
T1DR_median_ALL,0.0,2.0,42.0
T1DR_median_vsT2_ALL,0.4,2.0,42.0
T1DR_min_ALL,0.4,2.0,42.0
T1DR_min_vsT2_ALL,0.2,2.0,42.0
T1DRrate_max_ALL,0.2,2.0,42.0
T1DRrate_max_vsT2_ALL,0.0,2.0,42.0
T1DRrate_mean_ALL,0.2,2.0,42.0
T1DRrate_mean_vsT2_ALL,0.0,2.0,42.0
T1DRrate_median_ALL,0.2,2.0,42.0
T1DRrate_median_vsT2_ALL,0.0,2.0,42.0
T1DRrate_min_ALL,0.6,2.0,42.0
T1DRrate_min_vsT2_ALL,0.0,2.0,42.0
T1FGA_max_ALL,0.0,2.0,42.0
T1FGA_max_vsT2_ALL,0.0,2.0,42.0
T1FGA_mean_ALL,0.0,2.0,42.0
T1FGA_mean_vsT2_ALL,0.0,2.0,42.0
T1FGA_median_ALL,0.0,2.0,42.0
T1FGA_median_vsT2_ALL,0.0,2.0,42.0
T1FGA_min_ALL,0.0,2.0,42.0
T1FGA_min_vsT2_ALL,0.0,2.0,42.0
T1FGM3_max_ALL,0.0,2.0,42.0
T1FGM3_max_vsT2_ALL,0.0,2.0,42.0
T1FGM3_mean_ALL,0.0,2.0,42.0
T1FGM3_mean_vsT2_ALL,0.0,2.0,42.0
T1FGM3_median_ALL,0.0,2.0,42.0
T1FGM3_median_vsT2_ALL,0.0,2.0,42.0
T1FGM3_min_ALL,0.0,2.0,42.0
T1FGM3_min_vsT2_ALL,0.0,2.0,42.0
T1FGM_max_ALL,6.4,2.0,42.0
T1FGM_max_vsT2_ALL,0.6,2.0,42.0
T1FGM_mean_ALL,6.0,2.0,42.0
T1FGM_mean_vsT2_ALL,2.6,2.0,42.0
T1FGM_median_ALL,6.6,2.0,42.0
T1FGM_median_vsT2_ALL,0.4,2.0,42.0
T1FGM_min_ALL,4.0,2.0,42.0
T1FGM_min_vsT2_ALL,0.2,2.0,42.0
T1FTA_max_ALL,0.0,2.0,42.0
T1FTA_max_vsT2_ALL,0.0,2.0,42.0
T1FTA_mean_ALL,0.0,2.0,42.0
T1FTA_mean_vsT2_ALL,0.0,2.0,42.0
T1FTA_median_ALL,0.0,2.0,42.0
T1FTA_median_vsT2_ALL,0.0,2.0,42.0
T1FTA_min_ALL,0.0,2.0,42.0
T1FTA_min_vsT2_ALL,0.0,2.0,42.0
T1FTM_max_ALL,0.0,2.0,42.0
T1FTM_max_vsT2_ALL,0.0,2.0,42.0
T1FTM_mean_ALL,0.0,2.0,42.0
T1FTM_mean_vsT2_ALL,0.0,2.0,42.0
T1FTM_median_ALL,0.0,2.0,42.0
T1FTM_median_vsT2_ALL,0.0,2.0,42.0
T1FTM_min_ALL,0.0,2.0,42.0
T1FTM_min_vsT2_ALL,0.0,2.0,42.0
T1FTR_max_ALL,0.0,2.0,42.0
T1FTR_max_vsT2_ALL,0.0,2.0,42.0
T1FTR_mean_ALL,0.0,2.0,42.0
T1FTR_mean_vsT2_ALL,0.0,2.0,42.0
T1FTR_median_ALL,0.0,2.0,42.0
T1FTR_median_vsT2_ALL,0.0,2.0,42.0
T1FTR_min_ALL,0.0,2.0,42.0
T1FTR_min_vsT2_ALL,0.0,2.0,42.0
T1FTrate_max_ALL,0.0,2.0,42.0
T1FTrate_max_vsT2_ALL,0.0,2.0,42.0
T1FTrate_mean_ALL,0.0,2.0,42.0
T1FTrate_mean_vsT2_ALL,0.0,2.0,42.0
T1FTrate_median_ALL,0.0,2.0,42.0
T1FTrate_median_vsT2_ALL,0.0,2.0,42.0
T1FTrate_min_ALL,0.0,2.0,42.0
T1FTrate_min_vsT2_ALL,0.0,2.0,42.0
T1Fgrate3_max_ALL,0.0,2.0,42.0
T1Fgrate3_max_vsT2_ALL,0.0,2.0,42.0
T1Fgrate3_mean_ALL,0.0,2.0,42.0
T1Fgrate3_mean_vsT2_ALL,0.0,2.0,42.0
T1Fgrate3_median_ALL,0.0,2.0,42.0
T1Fgrate3_median_vsT2_ALL,0.0,2.0,42.0
T1Fgrate3_min_ALL,0.0,2.0,42.0
T1Fgrate3_min_vsT2_ALL,0.2,2.0,42.0
T1Fgrate_max_ALL,1.4,2.0,42.0
T1Fgrate_max_vsT2_ALL,4.6,2.0,42.0
T1Fgrate_mean_ALL,5.2,2.0,42.0
T1Fgrate_mean_vsT2_ALL,6.4,2.0,42.0
T1Fgrate_median_ALL,2.8,2.0,42.0
