Pred,Seed_A,Seed_B,Average_Score_A,Average_FGM_A,Average_FGA_A,Average_FGM3_A,Average_FGA3_A,Average_FTM_A,Average_FTA_A,Average_OR_A,Average_DR_A,Average_Ast_A,Average_TO_A,Average_Stl_A,Average_Blk_A,Average_PF_A,Average_Wins_A,Average_WinsHome_A,Average_WinsAway_A,Average_WinsOT_A,Average_Point diff_A,Average_Point diff win_A,Average_Point diff loss_A,Average_Losses_A,Average_LossesHome_A,Average_LossesAway_A,Average_LossesOT_A,Average_Score_B,Average_FGM_B,Average_FGA_B,Average_FGM3_B,Average_FGA3_B,Average_FTM_B,Average_FTA_B,Average_OR_B,Average_DR_B,Average_Ast_B,Average_TO_B,Average_Stl_B,Average_Blk_B,Average_PF_B,Average_Wins_B,Average_WinsHome_B,Average_WinsAway_B,Average_WinsOT_B,Average_Point diff_B,Average_Point diff win_B,Average_Point diff loss_B,Average_Losses_B,Average_LossesHome_B,Average_LossesAway_B,Average_LossesOT_B,538rating_A,538rating_B,Total_Score_A,Total_FGM_A,Total_FGA_A,Total_FGM3_A,Total_FGA3_A,Total_FTM_A,Total_FTA_A,Total_OR_A,Total_DR_A,Total_Ast_A,Total_TO_A,Total_Stl_A,Total_Blk_A,Total_PF_A,Total_Game played_A,Total_Game Home_A,Total_Game Away_A,Total_Game OT_A,Total_Wins_A,Total_WinsHome_A,Total_WinsAway_A,Total_WinsOT_A,Total_Point diff_A,Total_Point diff win_A,Total_Point diff loss_A,Total_Losses_A,Total_LossesHome_A,Total_LossesAway_A,Total_LossesOT_A,Total_Score_B,Total_FGM_B,Total_FGA_B,Total_FGM3_B,Total_FGA3_B,Total_FTM_B,Total_FTA_B,Total_OR_B,Total_DR_B,Total_Ast_B,Total_TO_B,Total_Stl_B,Total_Blk_B,Total_PF_B,Total_Game played_B,Total_Game Home_B,Total_Game Away_B,Total_Game OT_B,Total_Wins_B,Total_WinsHome_B,Total_WinsAway_B,Total_WinsOT_B,Total_Point diff_B,Total_Point diff win_B,Total_Point diff loss_B,Total_Losses_B,Total_LossesHome_B,Total_LossesAway_B,Total_LossesOT_B,Total_FGA3_AmenoB,Average_LossesHome_AmenoB,Total_LossesAway_AmenoB,Average_WinsOT_AmenoB,Average_WinsAway_AmenoB,Total_Point diff win_AmenoB,Average_Point diff win_AmenoB,Average_FGA_AmenoB,Total_Score_AmenoB,Total_Game played_AmenoB,Total_Wins_AmenoB,Total_Blk_AmenoB,Average_FTA_AmenoB,Average_OR_AmenoB,Total_FGM3_AmenoB,Seed_AmenoB,Total_TO_AmenoB,Average_FTM_AmenoB,Average_Point diff_AmenoB,Average_LossesOT_AmenoB,Average_PF_AmenoB,Total_OR_AmenoB,Total_Ast_AmenoB,Total_Game Away_AmenoB,Total_LossesOT_AmenoB,Average_FGM3_AmenoB,Average_FGA3_AmenoB,Total_FTM_AmenoB,Average_Score_AmenoB,Average_DR_AmenoB,Average_Wins_AmenoB,Average_TO_AmenoB,Average_Stl_AmenoB,Total_Game OT_AmenoB,Total_FGA_AmenoB,Average_Point diff loss_AmenoB,Total_WinsHome_AmenoB,Total_WinsAway_AmenoB,Total_WinsOT_AmenoB,Average_LossesAway_AmenoB,Total_LossesHome_AmenoB,Total_DR_AmenoB,Average_Losses_AmenoB,Average_Ast_AmenoB,Total_FTA_AmenoB,Total_Losses_AmenoB,Average_WinsHome_AmenoB,Total_Stl_AmenoB,Total_Point diff_AmenoB,Total_FGM_AmenoB,Total_PF_AmenoB,538rating_AmenoB,Average_Blk_AmenoB,Total_Point diff loss_AmenoB,Total_Game Home_AmenoB,Average_FGM_AmenoB,ID
1,4,13,72.09375,26.09375,56.34375,2.46875,8.65625,17.4375,24.0,12.1875,31.0625,14.6875,16.875,6.96875,7.25,14.125,0.71875,0.8333333333333334,0.5714285714285714,0.0,30.5,18.28125,-3.03125,0.28125,0.16666666666666666,0.42857142857142855,1.0,73.45454545454545,25.848484848484848,61.57575757575758,8.818181818181818,24.848484848484848,12.93939393939394,18.242424242424242,13.878787878787879,24.575757575757574,14.636363636363637,15.636363636363637,10.393939393939394,2.606060606060606,16.393939393939394,0.8181818181818182,0.8125,0.8235294117647058,1.0,25.757575757575758,14.93939393939394,-2.0606060606060606,0.18181818181818182,0.1875,0.17647058823529413,0.0,,,2307,835,1803,79,277,558,768,390,994,470,540,223,232,452,32,18,14,1,23,15,8,0,976,585,-97,9,3,6,1,2424,853,2032,291,820,427,602,458,811,483,516,343,86,541,33,16,17,1,27,13,14,1,850,493,-68,6,3,3,0,-543,-0.020833333333333343,3,-1.0,-0.25210084033613445,92,3.3418560606060606,-5.232007575757578,-117,-1,-4,146,5.757575757575758,-1.691287878787879,-212,-9,24,4.4981060606060606,4.742424242424242,1.0,-2.2689393939393945,-68,-13,-3,1,-6.349431818181818,-16.192234848484848,131,-1.3607954545454533,6.486742424242426,-0.09943181818181823,1.2386363636363633,-3.4251893939393945,0,-229,-0.9706439393939394,2,-6,-1,0.25210084033613445,0,183,0.09943181818181818,0.05113636363636331,166,3,0.02083333333333337,-120,126,-18,-89,,4.6439393939393945,-29,2,0.24526515151515227,2010_3124_3201
1,8,9,70.76923076923077,25.884615384615383,61.53846153846154,5.461538461538462,17.46153846153846,13.538461538461538,19.346153846153847,14.73076923076923,28.076923076923077,14.461538461538462,16.96153846153846,7.730769230769231,4.076923076923077,16.576923076923077,0.8076923076923077,0.8181818181818182,0.8,0.5,22.53846153846154,13.038461538461538,-1.7692307692307692,0.19230769230769232,0.18181818181818182,0.2,0.5,72.3,25.833333333333332,62.266666666666666,6.866666666666666,19.2,13.766666666666667,18.4,13.5,25.833333333333332,15.6,16.033333333333335,9.833333333333334,3.6,16.233333333333334,0.7333333333333333,0.8823529411764706,0.5384615384615384,1.0,24.0,14.533333333333333,-2.533333333333333,0.26666666666666666,0.11764705882352941,0.46153846153846156,0.0,,,1840,673,1600,142,454,352,503,383,730,376,441,201,106,431,26,11,15,2,21,9,12,1,586,339,-46,5,2,3,1,2169,775,1868,206,576,413,552,405,775,468,481,295,108,487,30,17,13,1,22,15,7,1,720,436,-76,8,2,6,0,-122,0.06417112299465241,-3,-0.5,0.2615384615384616,-97,-1.494871794871795,-0.7282051282051256,-329,-4,-1,-2,0.9461538461538481,1.23076923076923,-64,-1,-40,-0.22820512820512917,-1.46153846153846,0.5,0.34358974358974237,-22,-92,2,1,-1.4051282051282046,-1.7384615384615394,-61,-1.5307692307692236,2.2435897435897445,0.07435897435897443,0.9282051282051249,-2.102564102564103,1,-268,0.764102564102564,-6,5,0,-0.26153846153846155,0,-45,-0.07435897435897434,-1.138461538461538,-49,-3,-0.06417112299465233,-94,-134,-102,-56,,0.47692307692307656,30,-6,0.0512820512820511,2010_3173_3395
1,2,15,71.59375,26.84375,63.75,4.5625,14.46875,13.34375,20.15625,17.71875,25.59375,14.25,17.90625,13.375,5.28125,17.6875,0.84375,0.9444444444444444,0.7142857142857143,0.0,33.0625,19.0625,-2.53125,0.15625,0.05555555555555555,0.2857142857142857,0.0,62.833333333333336,22.2,60.1,4.9,16.1,13.533333333333333,18.933333333333334,14.966666666666667,22.666666666666668,11.6,15.533333333333333,10.1,2.2333333333333334,18.833333333333332,0.6333333333333333,0.6666666666666666,0.6,1.0,15.4,10.866666666666667,-3.1666666666666665,0.36666666666666664,0.3333333333333333,0.4,0.0,,,2291,859,2040,146,463,427,645,567,819,456,573,428,169,566,32,18,14,0,27,17,10,0,1058,610,-81,5,1,4,0,1885,666,1803,147,483,406,568,449,680,348,466,303,67,565,30,15,15,1,19,10,9,1,462,326,-95,11,5,6,0,-20,-0.2777777777777778,-2,-1.0,0.11428571428571432,284,8.195833333333333,3.6499999999999986,406,2,8,102,1.2229166666666664,2.752083333333333,-1,-13,107,-0.18958333333333321,17.6625,0.0,-1.1458333333333321,118,108,-1,0,-0.33750000000000036,-1.6312500000000014,21,8.760416666666664,2.927083333333332,0.2104166666666667,2.372916666666667,3.2750000000000004,-1,237,0.6354166666666665,7,1,-1,-0.11428571428571432,-4,139,-0.21041666666666664,2.6500000000000004,77,-6,0.2777777777777778,125,596,193,1,,3.0479166666666666,14,3,4.643750000000001,2010_3181_3214
1,3,14,74.46666666666667,26.4,59.2,6.1,16.1,15.566666666666666,21.8,14.4,27.266666666666666,15.333333333333334,19.033333333333335,8.833333333333334,4.033333333333333,17.133333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,28.733333333333334,17.0,-2.6333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,74.25806451612904,27.161290322580644,62.516129032258064,3.935483870967742,12.451612903225806,16.0,23.35483870967742,14.806451612903226,29.741935483870968,14.516129032258064,17.096774193548388,7.096774193548387,3.7419354838709675,16.032258064516128,0.7419354838709677,0.6923076923076923,0.7777777777777778,0.5,19.870967741935484,11.709677419354838,-1.7741935483870968,0.25806451612903225,0.3076923076923077,0.2222222222222222,0.5,,,2234,792,1776,183,483,467,654,432,818,460,571,265,121,514,30,18,12,0,25,15,10,0,862,510,-79,5,3,2,0,2302,842,1938,122,386,496,724,459,922,450,530,220,116,497,31,13,18,2,23,9,14,1,616,363,-55,8,4,4,1,97,-0.14102564102564105,-2,-0.5,0.05555555555555558,147,5.290322580645162,-3.316129032258061,-68,-1,2,5,-1.5548387096774192,-0.4064516129032256,61,-11,41,-0.43333333333333357,8.86236559139785,-0.5,1.1010752688172047,-27,10,-6,-1,2.1645161290322577,3.6483870967741954,-29,0.20860215053762943,-2.4752688172043023,0.09139784946236562,1.936559139784947,1.736559139784947,-2,-162,-0.8591397849462366,6,-4,-1,-0.05555555555555555,-1,-104,-0.0913978494623656,0.8172043010752699,-70,-3,0.14102564102564108,45,246,-50,17,,0.2913978494623657,-24,5,-0.7612903225806456,2010_3199_3256
1,5,12,68.03333333333333,23.833333333333332,60.266666666666666,6.333333333333333,20.066666666666666,14.033333333333333,19.533333333333335,15.766666666666667,19.466666666666665,15.866666666666667,16.3,13.366666666666667,2.6,18.033333333333335,0.8,0.8571428571428571,0.75,0.5,19.333333333333332,11.366666666666667,-1.7,0.2,0.14285714285714285,0.25,0.5,68.18181818181819,23.424242424242426,55.696969696969695,6.545454545454546,19.03030303030303,14.787878787878787,18.484848484848484,10.515151515151516,26.303030303030305,14.454545454545455,13.484848484848484,7.878787878787879,4.484848484848484,13.969696969696969,0.7878787878787878,0.9,0.6153846153846154,0.5,20.545454545454547,11.727272727272727,-1.4545454545454546,0.21212121212121213,0.1,0.38461538461538464,0.5,,,2041,715,1808,190,602,421,586,473,584,476,489,401,78,541,30,14,16,2,24,12,12,1,580,341,-51,6,2,4,1,2250,773,1838,216,628,488,610,347,868,477,445,260,148,461,33,20,13,2,26,18,8,1,678,387,-48,7,2,5,1,-26,0.042857142857142844,-1,0.0,0.13461538461538458,-46,-0.3606060606060595,4.56969696969697,-209,-3,-2,-70,1.0484848484848506,5.251515151515152,-26,-7,44,-0.754545454545454,-1.2121212121212146,0.0,4.063636363636366,126,-1,3,0,-0.21212121212121282,1.0363636363636353,-67,-0.14848484848485555,-6.8363636363636395,0.0121212121212122,2.8151515151515163,5.487878787878788,0,-30,-0.24545454545454537,-6,4,0,-0.13461538461538464,0,-284,-0.012121212121212116,1.412121212121212,-24,-1,-0.04285714285714293,141,-98,-58,80,,-1.8848484848484843,-3,-6,0.4090909090909065,2010_3207_3265
1,5,12,62.96774193548387,22.516129032258064,57.806451612903224,4.903225806451613,17.096774193548388,13.03225806451613,19.612903225806452,14.870967741935484,25.258064516129032,11.838709677419354,16.29032258064516,8.67741935483871,5.387096774193548,14.548387096774194,0.7419354838709677,0.8333333333333334,0.6153846153846154,1.0,16.838709677419356,11.419354838709678,-3.0,0.25806451612903225,0.16666666666666666,0.38461538461538464,0.0,69.90625,24.375,57.28125,5.9375,17.4375,15.21875,22.375,12.4375,23.5625,15.53125,17.46875,11.6875,3.03125,17.03125,0.8125,0.7647058823529411,0.8666666666666667,0.5,19.375,11.46875,-1.78125,0.1875,0.23529411764705882,0.13333333333333333,0.5,,,1952,698,1792,152,530,404,608,461,783,367,505,269,167,451,31,18,13,2,23,15,8,2,522,354,-93,8,3,5,0,2237,780,1833,190,558,487,716,398,754,497,559,374,97,545,32,17,15,2,26,13,13,1,620,367,-57,6,4,2,1,-28,-0.06862745098039216,3,0.5,-0.2512820512820513,-13,-0.049395161290322065,0.5252016129032242,-285,-1,-3,70,-2.762096774193548,2.433467741935484,-38,-7,-54,-2.18649193548387,-2.536290322580644,-0.5,-2.482862903225806,63,-130,-2,-1,-1.034274193548387,-0.3407258064516121,-83,-6.938508064516128,1.695564516129032,-0.07056451612903225,-1.1784274193548399,-3.01008064516129,0,-41,-1.21875,2,-5,1,0.2512820512820513,-1,29,0.07056451612903225,-3.692540322580646,-108,2,0.06862745098039225,-105,-98,-82,-94,,2.355846774193548,-36,1,-1.858870967741936,2010_3208_3408
1,7,10,80.93548387096774,31.870967741935484,66.6774193548387,4.870967741935484,15.096774193548388,12.32258064516129,16.677419354838708,14.838709677419354,26.774193548387096,19.35483870967742,15.67741935483871,11.129032258064516,4.580645161290323,15.064516129032258,0.8709677419354839,0.8823529411764706,0.8571428571428571,0.0,46.58064516129032,25.225806451612904,-1.935483870967742,0.12903225806451613,0.11764705882352941,0.14285714285714285,1.0,75.65517241379311,27.79310344827586,67.89655172413794,4.275862068965517,14.724137931034482,15.793103448275861,24.413793103448278,18.275862068965516,28.275862068965516,14.96551724137931,20.517241379310345,10.482758620689655,5.551724137931035,19.586206896551722,0.6206896551724138,0.7777777777777778,0.36363636363636365,0.5,16.0,13.03448275862069,-5.0344827586206895,0.3793103448275862,0.2222222222222222,0.6363636363636364,0.5,,,2509,988,2067,151,468,382,517,460,830,600,486,345,142,467,31,17,14,1,27,15,12,0,1444,782,-60,4,2,2,1,2194,806,1969,124,427,458,708,530,820,434,595,304,161,568,29,18,11,2,18,14,4,1,464,378,-146,11,4,7,1,41,-0.1045751633986928,-5,-0.5,0.49350649350649345,404,12.191323692992214,-1.2191323692992313,315,2,9,-19,-7.736373748609569,-3.437152391546162,27,-3,-109,-3.470522803114571,30.58064516129032,0.5,-4.521690767519464,-70,166,3,0,0.5951056729699671,0.3726362625139057,-76,5.2803114571746335,-1.50166852057842,0.25027808676307006,-4.839822024471635,0.6462736373748612,-1,98,3.0989988876529475,1,8,-1,-0.4935064935064935,-2,10,-0.25027808676307006,4.38932146829811,-191,-7,0.10457516339869277,41,980,182,-101,,-0.9710789766407117,86,-1,4.077864293659623,2010_3211_3314
1,8,9,69.4375,24.15625,58.4375,7.875,21.34375,13.25,17.15625,12.34375,26.21875,13.84375,17.03125,6.34375,4.40625,15.0625,0.59375,0.6666666666666666,0.5,0.3333333333333333,6.6875,6.625,-3.28125,0.40625,0.3333333333333333,0.5,0.6666666666666666,56.78125,20.78125,53.28125,3.3125,11.6875,11.90625,17.25,12.40625,24.5,11.65625,17.65625,8.46875,4.71875,18.1875,0.5625,0.5294117647058824,0.6,1.0,1.5625,6.0,-5.21875,0.4375,0.47058823529411764,0.4,0.0,,,2222,773,1870,252,683,424,549,395,839,443,545,203,141,482,32,18,14,3,19,12,7,1,214,212,-105,13,6,7,2,1817,665,1705,106,374,381,552,397,784,373,565,271,151,582,32,17,15,1,18,9,9,1,50,192,-167,14,8,6,0,309,-0.13725490196078433,1,-0.6666666666666667,-0.09999999999999998,20,0.625,5.15625,405,0,1,-10,-0.09375,-0.0625,146,-1,-20,1.34375,5.125,0.6666666666666666,-3.125,-2,70,-1,2,4.5625,9.65625,43,12.65625,1.71875,0.03125,-0.625,-2.125,2,165,1.9375,3,-2,0,0.09999999999999998,-2,55,-0.03125,2.1875,-3,-1,0.13725490196078427,-68,164,108,-100,,-0.3125,62,1,3.375,2010_3234_3353
1,4,13,73.90625,25.5625,61.75,5.21875,16.59375,17.5625,24.78125,14.1875,24.3125,12.28125,15.71875,11.4375,4.25,18.46875,0.78125,0.9444444444444444,0.5714285714285714,0.0,31.5625,17.78125,-2.0,0.21875,0.05555555555555555,0.42857142857142855,1.0,65.24137931034483,24.344827586206897,51.689655172413794,2.586206896551724,8.344827586206897,13.96551724137931,21.75862068965517,15.89655172413793,23.448275862068964,11.827586206896552,19.344827586206897,11.344827586206897,2.5172413793103448,17.06896551724138,0.8275862068965517,0.8571428571428571,0.8,0.0,31.17241379310345,16.724137931034484,-1.1379310344827587,0.1724137931034483,0.14285714285714285,0.2,0.0,,,2365,818,1976,167,531,562,793,454,778,393,503,366,136,591,32,18,14,1,25,17,8,0,1010,569,-64,7,1,6,1,1892,706,1499,75,242,405,631,461,680,343,561,329,73,495,29,14,15,0,24,12,12,0,904,485,-33,5,2,3,0,289,-0.0873015873015873,3,0.0,-0.22857142857142865,84,1.057112068965516,10.060344827586206,473,3,1,63,3.022629310344829,-1.7090517241379306,92,-9,-58,3.5969827586206904,0.3900862068965516,1.0,1.3997844827586192,-7,50,-1,1,2.632543103448276,8.248922413793103,157,8.664870689655174,0.8642241379310356,-0.04633620689655171,-3.626077586206897,0.0926724137931032,1,477,-0.8620689655172413,5,-4,0,0.22857142857142854,-1,98,0.04633620689655171,0.4536637931034484,162,2,0.08730158730158732,37,106,112,96,,1.7327586206896552,-31,4,1.2176724137931032,2010_3246_3251
0,10,7,63.0,21.93548387096774,54.16129032258065,5.419354838709677,18.870967741935484,13.709677419354838,19.70967741935484,13.580645161290322,26.387096774193548,12.516129032258064,16.29032258064516,7.258064516129032,5.032258064516129,14.741935483870968,0.8709677419354839,0.9411764705882353,0.7857142857142857,1.0,25.741935483870968,15.064516129032258,-2.193548387096774,0.12903225806451613,0.058823529411764705,0.21428571428571427,0.0,69.37931034482759,25.17241379310345,60.241379310344826,4.068965517241379,12.620689655172415,14.96551724137931,20.82758620689655,13.96551724137931,25.517241379310345,14.620689655172415,12.379310344827585,9.206896551724139,3.9310344827586206,14.551724137931034,0.6896551724137931,0.7058823529411765,0.6666666666666666,0.25,34.48275862068966,19.344827586206897,-2.103448275862069,0.3103448275862069,0.29411764705882354,0.3333333333333333,0.75,,,1953,680,1679,168,585,425,611,421,818,388,505,225,156,457,31,17,14,2,27,16,11,2,798,467,-68,4,1,3,0,2012,730,1747,118,366,434,604,405,740,424,359,267,114,422,29,17,12,4,20,12,8,1,1000,561,-61,9,5,4,3,219,-0.23529411764705882,-1,0.75,0.11904761904761907,-94,-4.280311457174639,-6.080088987764178,-59,2,7,42,-1.1179087875417117,-0.38487208008898754,50,3,146,-1.2558398220244715,-8.74082313681869,-0.75,0.19021134593993416,16,-36,2,-3,1.350389321468298,6.250278086763069,-9,-6.379310344827587,0.8698553948832028,0.18131256952169073,3.9110122358175747,-1.9488320355951068,-2,-68,-0.09010011123470507,4,3,1,-0.11904761904761904,-4,78,-0.18131256952169078,-2.1045606229143505,7,-5,0.23529411764705876,-42,-202,-50,35,,1.1012235817575085,-7,0,-3.236929922135708,2010_3216_3261
