Season,Team1ID,Team2ID,target,T1FGM_mean,T1FGA_mean,T1FGM3_mean,T1FTM_mean,T1FTA_mean,T1OR_mean,T1DR_mean,T1Ast_mean,T1TO_mean,T1Stl_mean,T1Blk_mean,T1PF_mean,T2FGM_mean,T2FGA_mean,T2FGM3_mean,T2FTM_mean,T2FTA_mean,T2OR_mean,T2DR_mean,T2Ast_mean,T2TO_mean,T2Stl_mean,T2Blk_mean,T2PF_mean,T1_seed,T2_seed,seeddiff
2010,3124,3201,1.0,21.0,50.0,1.4,15.8,22.2,8.0,31.8,14.6,15.6,5.0,9.0,13.8,21.0,61.0,10.0,3.0,5.0,17.0,19.0,12.0,18.0,4.0,1.0,18.0,4,13,-9
2010,3173,3395,1.0,25.0,62.0,6.5,9.0,14.5,12.5,29.5,11.0,15.5,4.5,7.5,15.0,22.0,73.0,8.0,14.0,15.0,18.0,26.0,8.0,8.0,8.0,6.0,22.0,8,9,-1
2010,3181,3214,1.0,22.0,58.25,2.5,15.0,20.0,15.5,26.75,9.75,16.0,13.0,4.25,14.25,15.0,56.0,4.0,3.0,8.0,10.0,21.0,4.0,16.0,6.0,4.0,20.0,2,15,-13
2010,3199,3256,1.0,24.25,60.25,4.75,13.0,16.25,14.75,21.75,15.0,17.75,5.5,4.75,18.25,21.0,62.0,2.0,17.0,22.0,16.0,21.0,13.0,16.0,5.0,4.0,24.0,3,14,-11
2010,3207,3265,1.0,18.0,69.0,5.5,6.0,9.0,19.5,27.0,12.5,10.5,6.5,5.0,21.0,13.0,60.0,5.0,11.0,17.0,16.0,22.0,9.0,10.0,3.0,4.0,12.0,5,12,-7
2010,3208,3408,1.0,18.0,57.333333333333336,6.0,16.0,24.666666666666668,16.333333333333332,28.0,10.666666666666666,15.666666666666666,4.666666666666667,6.666666666666667,16.666666666666668,23.0,69.0,10.0,3.0,8.0,17.0,17.0,11.0,12.0,11.0,3.0,20.0,5,12,-7
2010,3211,3314,1.0,27.666666666666668,64.33333333333333,5.0,9.666666666666666,13.666666666666666,11.333333333333334,24.666666666666668,17.0,16.333333333333332,11.333333333333334,6.333333333333333,12.666666666666666,30.0,78.0,4.0,12.0,18.0,17.0,31.0,15.0,18.0,12.0,5.0,16.0,7,10,-3
2010,3234,3353,1.0,23.0,52.5,8.5,14.0,18.5,10.0,23.0,12.5,16.0,4.5,1.5,12.0,27.0,61.0,3.0,6.0,12.0,11.0,18.0,13.0,13.0,10.0,2.0,21.0,8,9,-1
2010,3246,3251,1.0,26.0,60.0,5.0,17.25,24.5,13.25,20.75,12.25,14.0,13.0,2.25,17.0,32.0,64.0,2.0,11.0,16.0,17.0,21.0,8.0,22.0,8.0,1.0,25.0,4,13,-9
2010,3261,3216,1.0,19.0,52.0,1.5,16.5,20.0,13.5,24.5,11.0,18.0,8.0,4.0,12.0,16.0,54.0,3.0,4.0,7.0,11.0,25.0,12.0,17.0,7.0,5.0,20.0,7,10,-3
