Pred,Seed_A,Seed_B,Average_Score_A,Average_FGM_A,Average_FGA_A,Average_FGM3_A,Average_FGA3_A,Average_FTM_A,Average_FTA_A,Average_OR_A,Average_DR_A,Average_Ast_A,Average_TO_A,Average_Stl_A,Average_Blk_A,Average_PF_A,Average_Wins_A,Average_WinsHome_A,Average_WinsAway_A,Average_WinsOT_A,Average_Point diff_A,Average_Point diff win_A,Average_Point diff loss_A,Average_Losses_A,Average_LossesHome_A,Average_LossesAway_A,Average_LossesOT_A,Average_Score_B,Average_FGM_B,Average_FGA_B,Average_FGM3_B,Average_FGA3_B,Average_FTM_B,Average_FTA_B,Average_OR_B,Average_DR_B,Average_Ast_B,Average_TO_B,Average_Stl_B,Average_Blk_B,Average_PF_B,Average_Wins_B,Average_WinsHome_B,Average_WinsAway_B,Average_WinsOT_B,Average_Point diff_B,Average_Point diff win_B,Average_Point diff loss_B,Average_Losses_B,Average_LossesHome_B,Average_LossesAway_B,Average_LossesOT_B,538rating_A,538rating_B,Total_Score_A,Total_FGM_A,Total_FGA_A,Total_FGM3_A,Total_FGA3_A,Total_FTM_A,Total_FTA_A,Total_OR_A,Total_DR_A,Total_Ast_A,Total_TO_A,Total_Stl_A,Total_Blk_A,Total_PF_A,Total_Game played_A,Total_Game Home_A,Total_Game Away_A,Total_Game OT_A,Total_Wins_A,Total_WinsHome_A,Total_WinsAway_A,Total_WinsOT_A,Total_Point diff_A,Total_Point diff win_A,Total_Point diff loss_A,Total_Losses_A,Total_LossesHome_A,Total_LossesAway_A,Total_LossesOT_A,Total_Score_B,Total_FGM_B,Total_FGA_B,Total_FGM3_B,Total_FGA3_B,Total_FTM_B,Total_FTA_B,Total_OR_B,Total_DR_B,Total_Ast_B,Total_TO_B,Total_Stl_B,Total_Blk_B,Total_PF_B,Total_Game played_B,Total_Game Home_B,Total_Game Away_B,Total_Game OT_B,Total_Wins_B,Total_WinsHome_B,Total_WinsAway_B,Total_WinsOT_B,Total_Point diff_B,Total_Point diff win_B,Total_Point diff loss_B,Total_Losses_B,Total_LossesHome_B,Total_LossesAway_B,Total_LossesOT_B,Total_FGA3_AmenoB,Average_LossesHome_AmenoB,Total_LossesAway_AmenoB,Average_WinsOT_AmenoB,Average_WinsAway_AmenoB,Total_Point diff win_AmenoB,Average_Point diff win_AmenoB,Average_FGA_AmenoB,Total_Score_AmenoB,Total_Game played_AmenoB,Total_Wins_AmenoB,Total_Blk_AmenoB,Average_FTA_AmenoB,Average_OR_AmenoB,Total_FGM3_AmenoB,Seed_AmenoB,Total_TO_AmenoB,Average_FTM_AmenoB,Average_Point diff_AmenoB,Average_LossesOT_AmenoB,Average_PF_AmenoB,Total_OR_AmenoB,Total_Ast_AmenoB,Total_Game Away_AmenoB,Total_LossesOT_AmenoB,Average_FGM3_AmenoB,Average_FGA3_AmenoB,Total_FTM_AmenoB,Average_Score_AmenoB,Average_DR_AmenoB,Average_Wins_AmenoB,Average_TO_AmenoB,Average_Stl_AmenoB,Total_Game OT_AmenoB,Total_FGA_AmenoB,Average_Point diff loss_AmenoB,Total_WinsHome_AmenoB,Total_WinsAway_AmenoB,Total_WinsOT_AmenoB,Average_LossesAway_AmenoB,Total_LossesHome_AmenoB,Total_DR_AmenoB,Average_Losses_AmenoB,Average_Ast_AmenoB,Total_FTA_AmenoB,Total_Losses_AmenoB,Average_WinsHome_AmenoB,Total_Stl_AmenoB,Total_Point diff_AmenoB,Total_FGM_AmenoB,Total_PF_AmenoB,538rating_AmenoB,Average_Blk_AmenoB,Total_Point diff loss_AmenoB,Total_Game Home_AmenoB,Average_FGM_AmenoB,Season
1,4,13,72.09375,26.09375,56.34375,2.46875,8.65625,17.4375,24,12.1875,31.0625,14.6875,16.875,6.96875,7.25,14.125,0.71875,0.833333333,0.571428571,0,30.5,18.28125,-3.03125,0.28125,0.166666667,0.428571429,1,73.45454545,25.84848485,61.57575758,8.818181818,24.84848485,12.93939394,18.24242424,13.87878788,24.57575758,14.63636364,15.63636364,10.39393939,2.606060606,16.39393939,0.818181818,0.8125,0.823529412,1,25.75757576,14.93939394,-2.060606061,0.181818182,0.1875,0.176470588,0,,,2307,835,1803,79,277,558,768,390,994,470,540,223,232,452,32,18,14,1,23,15,8,0,976,585,-97,9,3,6,1,2424,853,2032,291,820,427,602,458,811,483,516,343,86,541,33,16,17,1,27,13,14,1,850,493,-68,6,3,3,0,-543,-0.020833333,3,-1,-0.25210084,92,3.341856061,-5.232007576,-117,-1,-4,146,5.757575758,-1.691287879,-212,-9,24,4.498106061,4.742424242,1,-2.268939394,-68,-13,-3,1,-6.349431818,-16.19223485,131,-1.360795455,6.486742424,-0.099431818,1.238636364,-3.425189394,0,-229,-0.970643939,2,-6,-1,0.25210084,0,183,0.099431818,0.051136364,166,3,0.020833333,-120,126,-18,-89,,4.643939394,-29,2,0.245265152,2010
1,8,9,70.76923077,25.88461538,61.53846154,5.461538462,17.46153846,13.53846154,19.34615385,14.73076923,28.07692308,14.46153846,16.96153846,7.730769231,4.076923077,16.57692308,0.807692308,0.818181818,0.8,0.5,22.53846154,13.03846154,-1.769230769,0.192307692,0.181818182,0.2,0.5,72.3,25.83333333,62.26666667,6.866666667,19.2,13.76666667,18.4,13.5,25.83333333,15.6,16.03333333,9.833333333,3.6,16.23333333,0.733333333,0.882352941,0.538461538,1,24,14.53333333,-2.533333333,0.266666667,0.117647059,0.461538462,0,,,1840,673,1600,142,454,352,503,383,730,376,441,201,106,431,26,11,15,2,21,9,12,1,586,339,-46,5,2,3,1,2169,775,1868,206,576,413,552,405,775,468,481,295,108,487,30,17,13,1,22,15,7,1,720,436,-76,8,2,6,0,-122,0.064171123,-3,-0.5,0.261538462,-97,-1.494871795,-0.728205128,-329,-4,-1,-2,0.946153846,1.230769231,-64,-1,-40,-0.228205128,-1.461538462,0.5,0.343589744,-22,-92,2,1,-1.405128205,-1.738461538,-61,-1.530769231,2.243589744,0.074358974,0.928205128,-2.102564103,1,-268,0.764102564,-6,5,0,-0.261538462,0,-45,-0.074358974,-1.138461538,-49,-3,-0.064171123,-94,-134,-102,-56,,0.476923077,30,-6,0.051282051,2010
1,2,15,71.59375,26.84375,63.75,4.5625,14.46875,13.34375,20.15625,17.71875,25.59375,14.25,17.90625,13.375,5.28125,17.6875,0.84375,0.944444444,0.714285714,0,33.0625,19.0625,-2.53125,0.15625,0.055555556,0.285714286,0,62.83333333,22.2,60.1,4.9,16.1,13.53333333,18.93333333,14.96666667,22.66666667,11.6,15.53333333,10.1,2.233333333,18.83333333,0.633333333,0.666666667,0.6,1,15.4,10.86666667,-3.166666667,0.366666667,0.333333333,0.4,0,,,2291,859,2040,146,463,427,645,567,819,456,573,428,169,566,32,18,14,0,27,17,10,0,1058,610,-81,5,1,4,0,1885,666,1803,147,483,406,568,449,680,348,466,303,67,565,30,15,15,1,19,10,9,1,462,326,-95,11,5,6,0,-20,-0.277777778,-2,-1,0.114285714,284,8.195833333,3.65,406,2,8,102,1.222916667,2.752083333,-1,-13,107,-0.189583333,17.6625,0,-1.145833333,118,108,-1,0,-0.3375,-1.63125,21,8.760416667,2.927083333,0.210416667,2.372916667,3.275,-1,237,0.635416667,7,1,-1,-0.114285714,-4,139,-0.210416667,2.65,77,-6,0.277777778,125,596,193,1,,3.047916667,14,3,4.64375,2010
1,3,14,74.46666667,26.4,59.2,6.1,16.1,15.56666667,21.8,14.4,27.26666667,15.33333333,19.03333333,8.833333333,4.033333333,17.13333333,0.833333333,0.833333333,0.833333333,0,28.73333333,17,-2.633333333,0.166666667,0.166666667,0.166666667,0,74.25806452,27.16129032,62.51612903,3.935483871,12.4516129,16,23.35483871,14.80645161,29.74193548,14.51612903,17.09677419,7.096774194,3.741935484,16.03225806,0.741935484,0.692307692,0.777777778,0.5,19.87096774,11.70967742,-1.774193548,0.258064516,0.307692308,0.222222222,0.5,,,2234,792,1776,183,483,467,654,432,818,460,571,265,121,514,30,18,12,0,25,15,10,0,862,510,-79,5,3,2,0,2302,842,1938,122,386,496,724,459,922,450,530,220,116,497,31,13,18,2,23,9,14,1,616,363,-55,8,4,4,1,97,-0.141025641,-2,-0.5,0.055555556,147,5.290322581,-3.316129032,-68,-1,2,5,-1.55483871,-0.406451613,61,-11,41,-0.433333333,8.862365591,-0.5,1.101075269,-27,10,-6,-1,2.164516129,3.648387097,-29,0.208602151,-2.475268817,0.091397849,1.93655914,1.73655914,-2,-162,-0.859139785,6,-4,-1,-0.055555556,-1,-104,-0.091397849,0.817204301,-70,-3,0.141025641,45,246,-50,17,,0.291397849,-24,5,-0.761290323,2010
1,5,12,68.03333333,23.83333333,60.26666667,6.333333333,20.06666667,14.03333333,19.53333333,15.76666667,19.46666667,15.86666667,16.3,13.36666667,2.6,18.03333333,0.8,0.857142857,0.75,0.5,19.33333333,11.36666667,-1.7,0.2,0.142857143,0.25,0.5,68.18181818,23.42424242,55.6969697,6.545454545,19.03030303,14.78787879,18.48484848,10.51515152,26.3030303,14.45454545,13.48484848,7.878787879,4.484848485,13.96969697,0.787878788,0.9,0.615384615,0.5,20.54545455,11.72727273,-1.454545455,0.212121212,0.1,0.384615385,0.5,,,2041,715,1808,190,602,421,586,473,584,476,489,401,78,541,30,14,16,2,24,12,12,1,580,341,-51,6,2,4,1,2250,773,1838,216,628,488,610,347,868,477,445,260,148,461,33,20,13,2,26,18,8,1,678,387,-48,7,2,5,1,-26,0.042857143,-1,0,0.134615385,-46,-0.360606061,4.56969697,-209,-3,-2,-70,1.048484848,5.251515152,-26,-7,44,-0.754545455,-1.212121212,0,4.063636364,126,-1,3,0,-0.212121212,1.036363636,-67,-0.148484848,-6.836363636,0.012121212,2.815151515,5.487878788,0,-30,-0.245454545,-6,4,0,-0.134615385,0,-284,-0.012121212,1.412121212,-24,-1,-0.042857143,141,-98,-58,80,,-1.884848485,-3,-6,0.409090909,2010
1,5,12,62.96774194,22.51612903,57.80645161,4.903225806,17.09677419,13.03225806,19.61290323,14.87096774,25.25806452,11.83870968,16.29032258,8.677419355,5.387096774,14.5483871,0.741935484,0.833333333,0.615384615,1,16.83870968,11.41935484,-3,0.258064516,0.166666667,0.384615385,0,69.90625,24.375,57.28125,5.9375,17.4375,15.21875,22.375,12.4375,23.5625,15.53125,17.46875,11.6875,3.03125,17.03125,0.8125,0.764705882,0.866666667,0.5,19.375,11.46875,-1.78125,0.1875,0.235294118,0.133333333,0.5,,,1952,698,1792,152,530,404,608,461,783,367,505,269,167,451,31,18,13,2,23,15,8,2,522,354,-93,8,3,5,0,2237,780,1833,190,558,487,716,398,754,497,559,374,97,545,32,17,15,2,26,13,13,1,620,367,-57,6,4,2,1,-28,-0.068627451,3,0.5,-0.251282051,-13,-0.049395161,0.525201613,-285,-1,-3,70,-2.762096774,2.433467742,-38,-7,-54,-2.186491935,-2.536290323,-0.5,-2.482862903,63,-130,-2,-1,-1.034274194,-0.340725806,-83,-6.938508065,1.695564516,-0.070564516,-1.178427419,-3.010080645,0,-41,-1.21875,2,-5,1,0.251282051,-1,29,0.070564516,-3.692540323,-108,2,0.068627451,-105,-98,-82,-94,,2.355846774,-36,1,-1.858870968,2010
1,7,10,80.93548387,31.87096774,66.67741935,4.870967742,15.09677419,12.32258065,16.67741935,14.83870968,26.77419355,19.35483871,15.67741935,11.12903226,4.580645161,15.06451613,0.870967742,0.882352941,0.857142857,0,46.58064516,25.22580645,-1.935483871,0.129032258,0.117647059,0.142857143,1,75.65517241,27.79310345,67.89655172,4.275862069,14.72413793,15.79310345,24.4137931,18.27586207,28.27586207,14.96551724,20.51724138,10.48275862,5.551724138,19.5862069,0.620689655,0.777777778,0.363636364,0.5,16,13.03448276,-5.034482759,0.379310345,0.222222222,0.636363636,0.5,,,2509,988,2067,151,468,382,517,460,830,600,486,345,142,467,31,17,14,1,27,15,12,0,1444,782,-60,4,2,2,1,2194,806,1969,124,427,458,708,530,820,434,595,304,161,568,29,18,11,2,18,14,4,1,464,378,-146,11,4,7,1,41,-0.104575163,-5,-0.5,0.493506494,404,12.19132369,-1.219132369,315,2,9,-19,-7.736373749,-3.437152392,27,-3,-109,-3.470522803,30.58064516,0.5,-4.521690768,-70,166,3,0,0.595105673,0.372636263,-76,5.280311457,-1.501668521,0.250278087,-4.839822024,0.646273637,-1,98,3.098998888,1,8,-1,-0.493506494,-2,10,-0.250278087,4.389321468,-191,-7,0.104575163,41,980,182,-101,,-0.971078977,86,-1,4.077864294,2010
1,8,9,69.4375,24.15625,58.4375,7.875,21.34375,13.25,17.15625,12.34375,26.21875,13.84375,17.03125,6.34375,4.40625,15.0625,0.59375,0.666666667,0.5,0.333333333,6.6875,6.625,-3.28125,0.40625,0.333333333,0.5,0.666666667,56.78125,20.78125,53.28125,3.3125,11.6875,11.90625,17.25,12.40625,24.5,11.65625,17.65625,8.46875,4.71875,18.1875,0.5625,0.529411765,0.6,1,1.5625,6,-5.21875,0.4375,0.470588235,0.4,0,,,2222,773,1870,252,683,424,549,395,839,443,545,203,141,482,32,18,14,3,19,12,7,1,214,212,-105,13,6,7,2,1817,665,1705,106,374,381,552,397,784,373,565,271,151,582,32,17,15,1,18,9,9,1,50,192,-167,14,8,6,0,309,-0.137254902,1,-0.666666667,-0.1,20,0.625,5.15625,405,0,1,-10,-0.09375,-0.0625,146,-1,-20,1.34375,5.125,0.666666667,-3.125,-2,70,-1,2,4.5625,9.65625,43,12.65625,1.71875,0.03125,-0.625,-2.125,2,165,1.9375,3,-2,0,0.1,-2,55,-0.03125,2.1875,-3,-1,0.137254902,-68,164,108,-100,,-0.3125,62,1,3.375,2010
1,4,13,73.90625,25.5625,61.75,5.21875,16.59375,17.5625,24.78125,14.1875,24.3125,12.28125,15.71875,11.4375,4.25,18.46875,0.78125,0.944444444,0.571428571,0,31.5625,17.78125,-2,0.21875,0.055555556,0.428571429,1,65.24137931,24.34482759,51.68965517,2.586206897,8.344827586,13.96551724,21.75862069,15.89655172,23.44827586,11.82758621,19.34482759,11.34482759,2.517241379,17.06896552,0.827586207,0.857142857,0.8,0,31.17241379,16.72413793,-1.137931034,0.172413793,0.142857143,0.2,0,,,2365,818,1976,167,531,562,793,454,778,393,503,366,136,591,32,18,14,1,25,17,8,0,1010,569,-64,7,1,6,1,1892,706,1499,75,242,405,631,461,680,343,561,329,73,495,29,14,15,0,24,12,12,0,904,485,-33,5,2,3,0,289,-0.087301587,3,0,-0.228571429,84,1.057112069,10.06034483,473,3,1,63,3.02262931,-1.709051724,92,-9,-58,3.596982759,0.390086207,1,1.399784483,-7,50,-1,1,2.632543103,8.248922414,157,8.66487069,0.864224138,-0.046336207,-3.626077586,0.092672414,1,477,-0.862068966,5,-4,0,0.228571429,-1,98,0.046336207,0.453663793,162,2,0.087301587,37,106,112,96,,1.732758621,-31,4,1.217672414,2010
0,10,7,63,21.93548387,54.16129032,5.419354839,18.87096774,13.70967742,19.70967742,13.58064516,26.38709677,12.51612903,16.29032258,7.258064516,5.032258065,14.74193548,0.870967742,0.941176471,0.785714286,1,25.74193548,15.06451613,-2.193548387,0.129032258,0.058823529,0.214285714,0,69.37931034,25.17241379,60.24137931,4.068965517,12.62068966,14.96551724,20.82758621,13.96551724,25.51724138,14.62068966,12.37931034,9.206896552,3.931034483,14.55172414,0.689655172,0.705882353,0.666666667,0.25,34.48275862,19.34482759,-2.103448276,0.310344828,0.294117647,0.333333333,0.75,,,1953,680,1679,168,585,425,611,421,818,388,505,225,156,457,31,17,14,2,27,16,11,2,798,467,-68,4,1,3,0,2012,730,1747,118,366,434,604,405,740,424,359,267,114,422,29,17,12,4,20,12,8,1,1000,561,-61,9,5,4,3,219,-0.235294118,-1,0.75,0.119047619,-94,-4.280311457,-6.080088988,-59,2,7,42,-1.117908788,-0.38487208,50,3,146,-1.255839822,-8.740823137,-0.75,0.190211346,16,-36,2,-3,1.350389321,6.250278087,-9,-6.379310345,0.869855395,0.18131257,3.911012236,-1.948832036,-2,-68,-0.090100111,4,3,1,-0.119047619,-4,78,-0.18131257,-2.104560623,7,-5,0.235294118,-42,-202,-50,35,,1.101223582,-7,0,-3.236929922,2010
